"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"77","'F653DC8E-E590-4139-B299-E04CA428C4AD'",52.363086,4.945925," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142458_17040346796_l.jpg'"," ''",NA
"78","'294BD02F-3EB1-43EE-A40D-208B0E1CD59B'",52.361922,4.943344," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142652_16446170503_l.jpg'"," ''",NA
"79","'FB8029A0-128B-4614-8C72-6D96248AA93F'",52.362847,4.942788," Kleine PET-fles"," Raak"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142713_16858916077_l.jpg'"," ''",NA
"80","'227B83CB-B3CB-4E0D-9EFE-F0D3A484F9B5'",52.361922,4.943344," Aluminium blikje"," Coca Cola"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142741_17040340416_l.jpg'"," ''",NA
"81","'B99C806A-D5D9-4685-AE6A-25C0976E3E3B'",52.362475,4.942908," Pouch"," Capri-Sun"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142929_17064839202_l.jpg'"," ''",NA
"82","'92840FA9-7873-4408-8626-F2E1C11D7080'",52.362786,4.941055," Kleine PET-fles"," Raak"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142938_16446162053_l.jpg'"," ''",NA
"83","'4C82D61F-A1C7-41DD-A885-FF09193D55D2'",52.362786,4.941055," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_143002_17064836152_l.jpg'"," ''",NA
"84","'FF05BE6E-24EC-448D-A785-4B209C4E67C8'",52.362786,4.941055," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_143009_16878760360_l.jpg'"," ''",NA
"85","'C19EBA34-FF4A-4F72-B7C8-F8C4C60EB11E'",52.362786,4.941055," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_143020_17066306865_l.jpg'"," ''",NA
"86","'FDADF288-9FFD-4B49-8CFF-57408F34574E'",52.362786,4.941055," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_143037_17065537001_l.jpg'"," ''",NA
"87","'60051825-CDD8-4A44-BFCE-6F6C6327CF28'",52.36508,4.935502," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_203148_16444657383_l.jpg'"," ''",NA
"88","'F609BC01-2C09-4681-BD11-D596FD176091'",52.365,4.935277," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_203342_16878550979_l.jpg'"," ''",NA
"89","'C7B34FAB-7D5A-4D3F-AE85-78497704A078'",52.365277,4.932777," Aluminium blikje"," Heineken"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_203746_16877233370_l.jpg'"," ''",NA
